04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.8 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.4 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.4 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.4 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.4 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.4 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.2 
