07/04/2017; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.11 
07/04/2017; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.87 
07/04/2017; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.49 
07/04/2017; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
07/04/2017; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.15 
07/04/2017; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.48 
07/04/2017; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.05 
07/04/2017; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.22 
07/04/2017; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.06 
07/04/2017; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.38 
