25/11/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.632 
26/11/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.632 
03/12/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.36 
06/12/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 2.992 
07/12/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.632 
07/12/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 2.04 
07/12/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.224 
09/12/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.36 
11/12/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 3.808 
16/12/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.36 
