08/05/2014; CORPOCESAR ; ZM22 Casacará ; Manual ; 9.831778 ; -73.299361 ; 20 ; CESAR ; 20013 ; AGUSTÍN CODAZZI ; Fija ; 24 ; Precipitación Líquida ; mm ; 4.55 
09/05/2014; CORPOCESAR ; ZM22 Casacará ; Manual ; 9.831778 ; -73.299361 ; 20 ; CESAR ; 20013 ; AGUSTÍN CODAZZI ; Fija ; 24 ; Precipitación Líquida ; mm ; 9.13 
10/05/2014; CORPOCESAR ; ZM22 Casacará ; Manual ; 9.831778 ; -73.299361 ; 20 ; CESAR ; 20013 ; AGUSTÍN CODAZZI ; Fija ; 24 ; Precipitación Líquida ; mm ; 12.19 
11/05/2014; CORPOCESAR ; ZM22 Casacará ; Manual ; 9.831778 ; -73.299361 ; 20 ; CESAR ; 20013 ; AGUSTÍN CODAZZI ; Fija ; 24 ; Precipitación Líquida ; mm ; 0 
12/05/2014; CORPOCESAR ; ZM22 Casacará ; Manual ; 9.831778 ; -73.299361 ; 20 ; CESAR ; 20013 ; AGUSTÍN CODAZZI ; Fija ; 24 ; Precipitación Líquida ; mm ; 0 
13/05/2014; CORPOCESAR ; ZM22 Casacará ; Manual ; 9.831778 ; -73.299361 ; 20 ; CESAR ; 20013 ; AGUSTÍN CODAZZI ; Fija ; 24 ; Precipitación Líquida ; mm ; 0 
14/05/2014; CORPOCESAR ; ZM22 Casacará ; Manual ; 9.831778 ; -73.299361 ; 20 ; CESAR ; 20013 ; AGUSTÍN CODAZZI ; Fija ; 24 ; Precipitación Líquida ; mm ; 0 
15/05/2014; CORPOCESAR ; ZM22 Casacará ; Manual ; 9.831778 ; -73.299361 ; 20 ; CESAR ; 20013 ; AGUSTÍN CODAZZI ; Fija ; 24 ; Precipitación Líquida ; mm ; 4.06 
16/05/2014; CORPOCESAR ; ZM22 Casacará ; Manual ; 9.831778 ; -73.299361 ; 20 ; CESAR ; 20013 ; AGUSTÍN CODAZZI ; Fija ; 24 ; Precipitación Líquida ; mm ; 0 
17/05/2014; CORPOCESAR ; ZM22 Casacará ; Manual ; 9.831778 ; -73.299361 ; 20 ; CESAR ; 20013 ; AGUSTÍN CODAZZI ; Fija ; 24 ; Precipitación Líquida ; mm ; 0 
18/05/2014; CORPOCESAR ; ZM22 Casacará ; Manual ; 9.831778 ; -73.299361 ; 20 ; CESAR ; 20013 ; AGUSTÍN CODAZZI ; Fija ; 24 ; Precipitación Líquida ; mm ; 17.01 
19/05/2014; CORPOCESAR ; ZM22 Casacará ; Manual ; 9.831778 ; -73.299361 ; 20 ; CESAR ; 20013 ; AGUSTÍN CODAZZI ; Fija ; 24 ; Precipitación Líquida ; mm ; 0 
20/05/2014; CORPOCESAR ; ZM22 Casacará ; Manual ; 9.831778 ; -73.299361 ; 20 ; CESAR ; 20013 ; AGUSTÍN CODAZZI ; Fija ; 24 ; Precipitación Líquida ; mm ; 0 
