04/12/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 32.21 
05/12/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.29 
06/12/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.75 
07/12/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 32.5 
08/12/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.83 
09/12/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.96 
10/12/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.33 
11/12/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 35.79 
12/12/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.17 
13/12/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 32.71 
14/12/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.29 
21/09/2017; CORANTIOQUIA ; Ca. Angostura 2017 ; Manual ; 6.883333 ; -75.335278 ; 5 ; ANTIOQUIA ; 5038 ; ANGOSTURA ; Indicativa ; 24 ; Humedad Relativa ; % ; 75.63 
22/09/2017; CORANTIOQUIA ; Ca. Angostura 2017 ; Manual ; 6.883333 ; -75.335278 ; 5 ; ANTIOQUIA ; 5038 ; ANGOSTURA ; Indicativa ; 24 ; Humedad Relativa ; % ; 76.96 
23/09/2017; CORANTIOQUIA ; Ca. Angostura 2017 ; Manual ; 6.883333 ; -75.335278 ; 5 ; ANTIOQUIA ; 5038 ; ANGOSTURA ; Indicativa ; 24 ; Humedad Relativa ; % ; 78.73 
